concept_id,concept_name,occurrence_count,affected_person_count
80180,Osteoarthritis,2694,2694
40481087,Viral sinusitis,17268,2686
4112343,Acute viral pharyngitis,10217,2606
260139,Acute bronchitis,8184,2543
372328,Otitis media,3605,2025
28060,Streptococcal sore throat,2656,1677
81151,Sprain of ankle,1915,1357
378001,Concussion with no loss of consciousness,1013,852
4283893,Sinusitis,1001,833
257012,Chronic sinusitis,825,812
4027663,Peptic ulcer,802,802
4294548,Acute bacterial sinusitis,939,786
4218389,Whiplash injury to neck,825,708
78272,Sprain of wrist,770,677
4278672,Fracture of forearm,569,510
192671,Gastrointestinal hemorrhage,479,479
4113008,Laceration of hand,500,462
4155034,Laceration of forearm,507,459
4156265,Facial laceration,497,459
4152936,Laceration of thigh,499,455
4237458,Fracture of clavicle,492,449
4109685,Laceration of foot,484,448
4134304,Fracture subluxation of wrist,493,442
4059173,Fracture of ankle,464,427
4116491,Escherichia coli urinary tract infection,482,419
81893,Ulcerative colitis,413,413
30753,Esophagitis,409,409
4266809,Diverticular disease,405,405
4310024,Angiodysplasia of stomach,388,388
4285898,Polyp of colon,380,380
