target_concept_id,target_concept_name,comparator_concept_id,comparator_concept_name,outcome_concept_id,outcome_concept_name,target_subject_count,comparator_subject_count,target_outcome_count,comparator_outcome_count,median_prior_observation_days,total_outcome_count,feasible,feasibility_reason
1127433,Acetaminophen 325 MG Oral Tablet,40213160,"poliovirus vaccine, inactivated",40481087,Viral sinusitis,411,1086,6,14,1806,20,TRUE,All engineering thresholds passed
19059056,Aspirin 81 MG Oral Tablet,40213160,"poliovirus vaccine, inactivated",4027663,Peptic ulcer,1295,1368,0,0,1673,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19059056,Aspirin 81 MG Oral Tablet,40213160,"poliovirus vaccine, inactivated",80180,Osteoarthritis,1293,1368,0,0,1673,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19059056,Aspirin 81 MG Oral Tablet,40213160,"poliovirus vaccine, inactivated",4283893,Sinusitis,1275,1328,0,3,1673,3,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19059056,Aspirin 81 MG Oral Tablet,40213160,"poliovirus vaccine, inactivated",257012,Chronic sinusitis,1272,1323,2,1,1673,3,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19059056,Aspirin 81 MG Oral Tablet,40213160,"poliovirus vaccine, inactivated",4294548,Acute bacterial sinusitis,1270,1325,0,1,1672,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19059056,Aspirin 81 MG Oral Tablet,40213160,"poliovirus vaccine, inactivated",378001,Concussion with no loss of consciousness,1262,1323,1,2,1673,3,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1127433,Acetaminophen 325 MG Oral Tablet,80180,Osteoarthritis,1195,1359,0,0,1873,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1127433,Acetaminophen 325 MG Oral Tablet,4027663,Peptic ulcer,1195,1383,0,0,1892,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19059056,Aspirin 81 MG Oral Tablet,40213160,"poliovirus vaccine, inactivated",81151,Sprain of ankle,1188,1290,2,1,1673,3,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19059056,Aspirin 81 MG Oral Tablet,40213160,"poliovirus vaccine, inactivated",28060,Streptococcal sore throat,1169,1176,4,4,1620,8,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1127433,Acetaminophen 325 MG Oral Tablet,4283893,Sinusitis,1167,1330,1,0,1861,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1127433,Acetaminophen 325 MG Oral Tablet,4294548,Acute bacterial sinusitis,1161,1341,1,0,1861.5,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1127433,Acetaminophen 325 MG Oral Tablet,378001,Concussion with no loss of consciousness,1160,1304,0,0,1825.5,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1127433,Acetaminophen 325 MG Oral Tablet,257012,Chronic sinusitis,1157,1333,0,2,1861,2,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19133873,Penicillin V Potassium 250 MG Oral Tablet,40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",4294548,Acute bacterial sinusitis,1189,1152,0,1,6012,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19133873,Penicillin V Potassium 250 MG Oral Tablet,40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",4283893,Sinusitis,1175,1146,1,0,6033,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19133873,Penicillin V Potassium 250 MG Oral Tablet,40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",257012,Chronic sinusitis,1175,1138,0,0,6008,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19133873,Penicillin V Potassium 250 MG Oral Tablet,40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",4027663,Peptic ulcer,1241,1132,0,0,5397,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19133873,Penicillin V Potassium 250 MG Oral Tablet,40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",378001,Concussion with no loss of consciousness,1176,1102,0,1,5583,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19059056,Aspirin 81 MG Oral Tablet,40213160,"poliovirus vaccine, inactivated",260139,Acute bronchitis,1094,1044,3,2,1500,5,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,19133873,Penicillin V Potassium 250 MG Oral Tablet,80180,Osteoarthritis,1090,1042,1,0,2897.5,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,19133873,Penicillin V Potassium 250 MG Oral Tablet,4027663,Peptic ulcer,1176,1042,1,0,3033,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1127433,Acetaminophen 325 MG Oral Tablet,81151,Sprain of ankle,1040,1213,0,1,1769,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,4027663,Peptic ulcer,1274,1038,0,1,1876.5,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,257012,Chronic sinusitis,1240,1030,1,11,1869.5,12,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127433,Acetaminophen 325 MG Oral Tablet,19059056,Aspirin 81 MG Oral Tablet,4027663,Peptic ulcer,1020,1591,0,0,1261,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1127433,Acetaminophen 325 MG Oral Tablet,28060,Streptococcal sore throat,1063,1015,1,1,1580,2,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127433,Acetaminophen 325 MG Oral Tablet,19059056,Aspirin 81 MG Oral Tablet,80180,Osteoarthritis,1015,1591,1,0,1261,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",4294548,Acute bacterial sinusitis,1347,1006,1,0,3120,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,19133873,Penicillin V Potassium 250 MG Oral Tablet,4294548,Acute bacterial sinusitis,1123,1004,0,0,3032,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,4294548,Acute bacterial sinusitis,1243,1000,1,0,1860,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,378001,Concussion with no loss of consciousness,1239,996,0,0,1836,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",4027663,Peptic ulcer,1387,996,0,0,3030,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,19133873,Penicillin V Potassium 250 MG Oral Tablet,378001,Concussion with no loss of consciousness,1122,994,1,0,2996,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,19133873,Penicillin V Potassium 250 MG Oral Tablet,4283893,Sinusitis,1105,994,0,0,3003,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",257012,Chronic sinusitis,1344,991,1,0,3030,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1713671,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,19133873,Penicillin V Potassium 250 MG Oral Tablet,257012,Chronic sinusitis,1164,990,10,0,3039,10,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",4283893,Sinusitis,1352,983,1,0,3030,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
40213306,"hepatitis B vaccine, adult dosage",40229134,Acetaminophen 21.7 MG/ML / Dextromethorphan Hydrobromide 1 MG/ML / doxylamine succinate 0.417 MG/ML Oral Solution,4027663,Peptic ulcer,1146,983,0,1,8099,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
19059056,Aspirin 81 MG Oral Tablet,40213160,"poliovirus vaccine, inactivated",4112343,Acute viral pharyngitis,1043,979,6,3,1497.5,9,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127433,Acetaminophen 325 MG Oral Tablet,19059056,Aspirin 81 MG Oral Tablet,4283893,Sinusitis,976,1556,0,0,1212.5,0,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
1127078,Acetaminophen 160 MG Oral Tablet,40213227,"tetanus and diphtheria toxoids, adsorbed, preservative free, for adult use",378001,Concussion with no loss of consciousness,1343,973,0,1,2927,1,FALSE,"Failed engineering threshold(s): minimum_total_outcomes, minimum_outcomes_per_arm"
